depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
89.362,2.34112963673738e-06,5.58672439759526e-06,2.37155284906481e-07
89.483,2.40239612444108e-06,5.82495332215049e-06,8.3561765985211e-07
89.604,2.36008273770531e-06,5.6675158525571e-06,4.47453240539365e-07
89.725,2.87070511399021e-06,6.52506900301525e-06,5.21944323618965e-07
89.846,2.25386518656552e-06,5.45910705667245e-06,2.9289691170074e-07
90.12,1.98220841790038e-06,5.02388118130139e-06,3.35969986950848e-07
90.209,1.89816617341976e-06,4.93168564222482e-06,5.34612875163114e-07
90.329,2.30331724373359e-06,5.55207290660931e-06,3.28368856024358e-07
90.449,2.36044527620826e-06,5.62897868376177e-06,2.49317094388865e-07
90.569,1.94151914344224e-06,4.96238704738006e-06,3.45091344062636e-07
90.689,1.99385197090732e-06,5.12450727148438e-06,6.73460200086994e-07
90.809,2.04487580119731e-06,5.08521785011129e-06,1.3034282888872e-07
90.929,2.00597740483338e-06,5.15997944337039e-06,7.33255763375381e-07
91.049,2.53634435723536e-06,5.96197706314085e-06,4.17555458895172e-07
91.169,2.59526637207074e-06,6.07057323217412e-06,4.63668986515877e-07
91.289,2.15677485893484e-06,5.36229212288907e-06,5.19917355371901e-07
91.409,2.20693478815944e-06,5.46464233747699e-06,6.02009569377991e-07
91.529,2.38790738305934e-06,5.74992627278479e-06,5.41707264027838e-07
91.649,2.37203077411927e-06,5.72974710082384e-06,5.63497172683776e-07
91.75,2.10993293667005e-06,5.35369437417477e-06,8.03692909960853e-07
91.889,2.12591003748211e-06,5.30049764663653e-06,4.51507177033493e-07
92.009,2.17346831090819e-06,5.37366989969212e-06,4.24649847759896e-07
92.11,2.07225682850501e-06,5.31066958760163e-06,8.7463679860809e-07
92.248,2.44143857178727e-06,5.785633314059e-06,2.86309264897782e-07
92.367,2.45079174223677e-06,5.76919953565647e-06,1.42901261418008e-07
92.486,2.01380802177025e-06,5.13622330956929e-06,5.20930839495433e-07
92.605,2.1259020421448e-06,5.31781087476028e-06,5.02688125271857e-07
92.724,2.2256077215926e-06,5.47239189213297e-06,4.55561113527621e-07
92.962,2.24585641433028e-06,5.53742464011753e-06,5.85287081339713e-07
93.081,2.76123014605314e-06,6.30240376251544e-06,2.08777729447586e-07
93.2,2.12272337431217e-06,5.28343565186521e-06,3.55226185297956e-07
93.319,2.28979579651298e-06,5.57564413203086e-06,4.23129621574598e-07
93.438,2.27553010482894e-06,5.57885245146912e-06,5.35626359286646e-07
93.557,1.90708332173652e-06,4.94038557447392e-06,3.99312744671596e-07
93.676,1.82299373097454e-06,4.89413316411014e-06,7.99132231404959e-07
93.795,2.09676858928172e-06,5.25418098285669e-06,3.94245324053937e-07
93.914,2.27940660702412e-06,5.64315377621398e-06,7.7126141800783e-07
94.033,1.97198646799341e-06,5.29033362498302e-06,1.44218033254294e-06
94.16,2.09546709504321e-06,5.34821999980896e-06,8.01159199652023e-07
94.27,2.18101976324057e-06,5.39135091970543e-06,3.69414963027403e-07
94.41,2.32190283874792e-06,5.62113574692233e-06,3.51678990865594e-07
94.506,2.22801879385293e-06,5.53168980114278e-06,6.34441061331013e-07
94.742,2.66471860374127e-06,6.25888174643394e-06,6.50150065245759e-07
94.86,1.94528342785217e-06,5.04432904948557e-06,5.34612875163114e-07
94.978,1.92644505451651e-06,4.97313411737735e-06,3.56239669421488e-07
95.12,1.84072027734883e-06,4.82328900361318e-06,3.16207046541975e-07
95.214,2.10898750429687e-06,5.28637335325088e-06,3.98299260548064e-07
95.332,2.32084148972054e-06,5.69428193082446e-06,6.45082644628099e-07
95.45,2.56535017987108e-06,6.10635690024123e-06,6.74473684210526e-07
95.568,2.26732261135765e-06,5.53274449726915e-06,3.18740756850805e-07
95.686,2.07966524991518e-06,5.22491765361019e-06,3.25835145715529e-07
95.8,2.50454921537842e-06,6.00809610975607e-06,6.7143323183993e-07
95.922,2.52609591243902e-06,5.9915740707753e-06,4.39852109612875e-07
96.04,2.7174764474271e-06,6.4220999007597e-06,9.30885167464115e-07
96.158,2.5972930037743e-06,6.17639693563443e-06,7.22614180078295e-07
96.276,2.46415976596476e-06,5.92492871026453e-06,5.82753371030883e-07
96.394,1.91322412723822e-06,5.00791555510341e-06,5.56402783819052e-07
96.512,2.05379349145515e-06,5.20609877160311e-06,4.02353197042192e-07
96.63,2.4666222497791e-06,5.9043858525147e-06,4.62655502392345e-07
96.747,2.2392182077426e-06,5.55236345390694e-06,5.65017398869074e-07
