depth [m],acid [mol/L],conductivity [S/m],sscl [mol/L]
709.2908,8.04886102380226e-07,6.75450631869905e-06,1.38201056959092e-06
709.3149,5.98112971354282e-07,6.10338410564792e-06,9.01833431589095e-07
709.339,2.89794733607307e-07,5.52161947682717e-06,1.37910993762808e-06
709.3631,3.9429469902336e-07,5.58228489385848e-06,7.9870981245197e-07
709.3872,8.03783496739146e-07,6.38562550788196e-06,2.58896506774854e-07
709.4113,1.23679959098075e-06,7.37504325796226e-06,1.1714631399221e-07
709.4354,1.1616286744515e-06,7.35720538675246e-06,6.13771991094802e-07
709.4595,1.09297885344008e-06,7.44348604273572e-06,1.38185726849696e-06
709.4836,3.20953074181543e-07,5.34244826012482e-06,6.0114289464511e-07
709.5077,7.01021098424164e-07,6.31137554697386e-06,7.84894743360385e-07
709.5318,2.09736334214237e-07,5.42988414304501e-06,1.68496977276181e-06
709.5559,3.57273066667391e-07,5.58625419315671e-06,1.08241012402822e-06
709.58,7.20246462504067e-07,6.16645769372753e-06,1.99488388353584e-07
709.6041,1.04512443788828e-06,6.97560947602267e-06,2.98057530888438e-07
709.6282,9.8058161927936e-07,6.8021242974026e-06,2.3942919135611e-07
709.6523,9.702885682507e-07,6.77933376573596e-06,2.45032736187868e-07
709.6764,7.60223421268785e-07,6.41442983523009e-06,6.66710284246605e-07
709.7005,6.90694049011381e-07,6.19953868537626e-06,5.17680335097053e-07
709.7246,4.16653431411804e-07,5.51158134637873e-06,4.17906144223423e-07
709.7487,3.53688065208249e-07,5.46175614768233e-06,7.26920962921363e-07
709.7728,3.78171498648826e-07,5.43775998729724e-06,4.73765813311883e-07
709.7969,5.07525965396184e-07,5.69467591282647e-06,3.12892084889543e-07
709.821,6.89859378194433e-07,6.09720279101231e-06,2.09981307610455e-07
709.8451,1.01367131672258e-06,6.95253996742609e-06,4.58000101047316e-07
709.8692,9.37324444770329e-07,6.88931210162148e-06,8.2405874806711e-07
709.8933,5.06838932714287e-07,5.7443583673855e-06,4.70286001836369e-07
